image_path,base_pair,test_word,condition
stims/practice/1.jpg,hiding,pressuring,ND
stims/practice/4.jpg,dancing,measuring,DI
stims/practice/5.jpg,thanking,hunting,DN
stims/practice/6.jpg,actor,drushing,IC
stims/practice/8.jpg,tired,multiplying,NI
stims/practice/9.jpg,baking,blaming,DD
stims/practice/16.jpg,manipulative,silly,IN
stims/practice/7.jpg,subtracting,glascking,DC
stims/practice/3.jpg,spreading,surprising,ID
stims/practice/14.jpg,greeting,landscaping,II
stims/practice/15.jpg,cleaning,squaiding,NC
stims/practice/2.jpg,running,seducing,NN